coeff,ldmc,n,p,sla
Intercept,0.2961338142700008,20.221396309232706,1.3643145607235463,7.130809203333675
410,0.05069706111985654,-2.498810493935375,-0.010386235843190886,3.7201894347935767
420,0.05514033698691041,-2.587236904340589,-0.017811125947785666,2.5064053669489104
430,0.059707322156532995,-2.6951353905698756,-0.02641406170377713,1.2636606630798817
440,0.06439686127560094,-2.7970942316193574,-0.03757734329813862,0.16471371150856126
450,0.06893517288773082,-2.9124370287082697,-0.05819107910225087,-0.7501821167283617
460,0.07190467690603035,-2.959172652405714,-0.07377201070885518,-1.3994785940382637
470,0.07414727763335258,-3.0149393464858587,-0.08474974462623693,-1.9239091744347085
480,0.07600450732305074,-3.0653396481895907,-0.09010262902464976,-2.4943805236426395
490,0.07366351481965465,-2.953606138466186,-0.08560317604309206,-2.910939800587678
500,0.06268406277657215,-2.541657099714193,-0.03141297817352449,-3.854519764264552
510,0.0429748018419448,-1.7266843888072665,0.11474662115006237,-5.915339425608057
520,0.020520399509723022,-0.8203725932940646,0.2804233902934199,-7.959265450973621
530,0.004134499609273982,-0.2769692560456523,0.28780386455149354,-6.637523417084198
540,-0.0018298781929647328,-0.12374229487120397,0.19208773230113652,-3.9497986964500895
550,-0.0020064656381643077,-0.0631532301276212,0.10900097060871566,-2.1488194561537735
560,0.004790344066682254,-0.24567366493013373,0.022209187062752458,-1.2749058288816464
570,0.020468456606070835,-0.6845417063251844,-0.08975342998645316,-0.8728590155485971
580,0.03324405673473947,-1.0295083409478183,-0.177448234565286,-0.6014127993723558
590,0.04024532875775422,-1.2253376492063555,-0.22660841443726668,-0.7649730545595299
600,0.044026763087085516,-1.3637726067421903,-0.2549053236847867,-1.0441905339387518
610,0.046935119249032556,-1.5211075912157037,-0.26321864505494436,-1.3928652789375802
620,0.04705968150099851,-1.5432686930487278,-0.25470905103254493,-1.6627209837031307
630,0.04617879989577464,-1.517311936891312,-0.24563557610128345,-1.7697949516577776
640,0.04449903703300646,-1.4966114857552038,-0.19972432260911183,-1.9723961357160826
650,0.04232582963461334,-1.4457295954287042,-0.14461982856063793,-2.0726112719173733
660,0.03855790329928912,-1.313237646627281,-0.058631503779812084,-1.9686123922104541
670,0.03654727074609688,-1.1804708038493832,0.012855724580647848,-1.9385450811234193
680,0.042768939361348055,-1.3590036996048587,-0.0879447738693302,-1.8473563097816825
690,0.06336273099854324,-1.8079165938121,-0.38423375466951437,-1.7860588774732944
700,0.06497816095830926,-2.0389713191250753,-0.4837723307490291,-0.5548243532691797
710,0.02996182185196235,-1.9159292405250097,-0.3221082298581057,0.44706745898396694
720,-0.013730289017645843,-1.371642354315246,-0.05899585213104437,-0.4714576685049866
730,-0.04355246955287298,-0.02759231386229888,0.18748317939316572,-1.8696957072668672
740,-0.05107275248160361,1.4361267353402216,0.34094584772306824,-2.687884108673688
750,-0.05237727801873553,2.341033122315661,0.3987685794612509,-1.9513987055473212
760,-0.0478002981338672,2.6502060532599843,0.39180136107623986,-1.2531733332755177
770,-0.045135566921837754,2.155909252825278,0.34442309199094095,-2.413249296800102
780,-0.04778185376140884,1.9279086617350103,0.31647927056489594,-2.1374994539784122
790,-0.04674098213433474,1.882166888987273,0.3001973563259419,-1.6078786053850191
800,-0.04586381716238279,1.8571952373453684,0.2825492154604588,-1.1298072219868704
810,-0.046873471692401913,1.8433934915355998,0.2695026676879901,-0.28956850671360845
820,-0.0484386565979381,1.8594631571321274,0.2587990236825791,0.7434766236663359
830,-0.0461491383906994,1.7890733247888149,0.24188044608923492,0.8846737380709282
840,-0.04434997527888725,1.70735603972739,0.22729788710428567,1.074218143661943
850,-0.043736824233918906,1.6815696623834606,0.2157150406524798,1.4538909718009045
860,-0.04024699185154252,1.5391058615343587,0.19628475901801165,1.3976895443626471
870,-0.04074644484016205,1.5552161056612301,0.18135205788131362,2.245024656712739
880,-0.03889568114144379,1.464251357151881,0.16489659264951118,2.5924368075405257
890,-0.03621299826538988,1.3753376259483263,0.14583707567952103,2.71992976674424
900,-0.03156098738853329,1.229379731298167,0.12232124644467365,2.662289338926359
910,-0.028498721371498288,1.1040897151726146,0.10121205437316465,2.839916901964311
920,-0.029317945264852145,1.069071832946464,0.089500932714142,3.522779407811938
930,-0.026623013118742656,0.9321623556274293,0.07050678044307718,3.7188520566059275
940,-0.019694183243733007,0.632093836575655,0.04024189491005137,3.329770346149219
950,-0.00932911065864425,0.16073573362456145,0.004541192004866832,2.5281197679903644
960,4.648097324723901e-4,-0.19376730189970476,-0.0267319599300275,1.5779473919589557
970,0.0035310622655395254,-0.30451844047174437,-0.045683872756535945,1.6913576149010077
980,0.005192312285083486,-0.36326281341369254,-0.06015988749944409,1.8252739837155159
990,1.484481080429429e-4,-0.15749539452027878,-0.0590799781783341,2.982343593694843
1000,-1.5423325139700666e-4,-0.11108496710564068,-0.06674387390700412,3.206328519789237
1010,0.001540513263106929,-0.0737950887246511,-0.07314236089030969,2.974522411934534
1020,0.0011329973017424949,-0.01031654127408288,-0.07820979340011099,3.1544011542335304
