coeff,ldmc,n,p,sla
Intercept,0.3599434201440998,17.83040324301119,1.2645664476896794,7.477877635696911
410,0.08519931772771941,-5.5446385193854795,-0.3344259607678136,-2.951837718754726
420,0.08974473358890506,-5.590658159156426,-0.33876142766433204,-3.3645651023299283
430,0.09431868564283286,-5.689155737732236,-0.3429148827309374,-3.7704118679685896
440,0.09962949706980077,-5.786771421086161,-0.35089731563883086,-4.132269977111654
450,0.10478903063583261,-5.752225795729793,-0.36225389821260146,-4.346073983348502
460,0.10771999964890219,-5.6595577240086445,-0.3677966880337662,-4.449575219874493
470,0.11052961363069046,-5.667677242934853,-0.3750294515866554,-4.578482326765098
480,0.11427524148920096,-5.763461564946908,-0.3827482283578845,-4.825326177321131
490,0.11466789433224824,-5.587646545515204,-0.37511320837945994,-5.0216550733764125
500,0.11095103391915476,-5.2758208120081775,-0.326196343196962,-5.574167350810461
510,0.10270709064332635,-4.881491818120038,-0.2004768025712695,-6.988124334100226
520,0.08801234829251403,-4.158997652564886,-0.03268363779010494,-7.960102950641791
530,0.06222131189286134,-2.850721746261306,0.043980268856660655,-6.121962984702716
540,0.038055131979272926,-1.3656590420733818,0.053473701238852936,-3.167301497170974
550,0.02248145007642879,-0.16377443777297085,0.06009040968579843,-1.0044595577390538
560,0.01690537210347212,0.49034050826492004,0.04096034269741056,0.3238783292621273
570,0.015532518188145217,0.9589040087332216,-2.782094141498548e-5,1.3202099739638888
580,0.010838155095240451,1.3474017848486108,-0.025074471809954993,1.8600716305701814
590,0.0030976676534784676,1.679394316698389,-0.023194819035185284,2.0083196483848327
600,-0.007401179462889321,1.9164836421825135,-0.010220746700907363,1.9715852880632487
610,-0.019973985791454894,1.9573378773282666,0.008309732566803715,1.7259392373514277
620,-0.03325547692693574,2.0059898108993472,0.03618464727610474,1.4895462835641902
630,-0.04301674747275018,2.082579818364721,0.05612674407176965,1.299284412550941
640,-0.05612800988747558,1.875218269503839,0.0912445733671283,0.9896394532510175
650,-0.06531874997437562,1.4964463042256844,0.12188479289036211,0.6664403847505174
660,-0.07206624176585258,0.8089102496064198,0.1508465913244167,0.2258030540701248
670,-0.07364662863156965,0.21185983528558827,0.1623971836602681,-0.27027908041259385
680,-0.06799765572519892,0.7339728061513695,0.12312633373315704,0.09792180053643573
690,-0.00664226648447603,1.0900269513669267,-0.11636650147653613,0.1203639792961646
700,0.0895862128954658,-1.8357120535016787,-0.42400841063215855,-1.349065129009401
710,0.12011782693424469,-5.495683673728699,-0.49225880835787655,-2.675418919429274
720,0.08977121677701966,-7.3862751468409495,-0.3509377400942926,-3.8749620334372934
730,0.027620458576909312,-5.705523293340914,-0.11373408707624827,-4.087103377870733
740,-0.02112889765818792,-2.0378740331496727,0.08039533116010167,-3.255354738161078
750,-0.04645490989004813,0.7314148184627647,0.1916908173176784,-1.8949037008876788
760,-0.05827941555656216,2.9412148963750497,0.2582017288622512,-0.5106440605144202
770,-0.06411786691154649,4.309569316922923,0.3188052376686856,0.3251524982509377
780,-0.06713394358206172,4.5222217327358285,0.33596427579307775,0.8506763110281568
790,-0.06456096156905496,4.348195054325003,0.3208362755038971,1.0061833878228814
800,-0.06283958007557326,4.197443269106562,0.307796996015327,1.1656010736055369
810,-0.06239268792223815,4.017801534359284,0.3018030172063084,1.5104661187257977
820,-0.06323674511807624,3.9223840214206707,0.2956326104818089,1.8925114665513347
830,-0.06012693468982867,3.7040079060321083,0.2823888529405645,1.8985892709362724
840,-0.057327351048067354,3.513803417092072,0.2688243179353699,1.933070997362537
850,-0.056150375772079625,3.387828060235448,0.26258982667197556,2.038966187121934
860,-0.05134749298620842,3.1168574866304946,0.24457322848546328,1.961420828859145
870,-0.05058766577412138,2.963025134974652,0.23300421402827784,2.2660108362373763
880,-0.04750321439276641,2.7271179849319935,0.22002905663771677,2.324140880218258
890,-0.04357216192377529,2.534392523320911,0.20130310563701276,2.2688434878922115
900,-0.03720443647077225,2.2266587268337177,0.1724982609480344,2.1269485167137914
910,-0.032607458933168215,1.921862225135074,0.15206846546363267,2.1329914966761296
920,-0.03349784984982908,1.7918441934501184,0.1464513315423351,2.3850240532679123
930,-0.02991789970030342,1.5247041419746334,0.12679697761142958,2.3719297562607555
940,-0.02189220684740647,1.081898333802514,0.08667934739096163,2.0225692284560854
950,-0.011397721060737276,0.4517441035683503,0.03664645071041989,1.5074498329308024
960,-0.0010089994236524404,-0.004672461673859402,-0.010521256439102854,0.8982458402117598
970,0.0029955614827022864,-0.22061846409541389,-0.02843929676855328,0.8310159400336199
980,0.005727280493915442,-0.38135186487396466,-0.040777540278388105,0.8414642295237086
990,0.0014942564166071303,-0.2320451111842727,-0.03046676722901559,1.2784494121170322
1000,0.002350107868044455,-0.30564590578441997,-0.028575427875768535,1.3620502563014438
1010,0.004664894557338795,-0.2937028762765135,-0.032361041989997494,1.2098988663461203
1020,0.006198299810111528,-0.3154226273092906,-0.028924373106024606,1.2878946059591363
1030,0.003278153940007085,-0.06073345990446288,-0.019702369509988937,1.3737045504714742
1040,0.009419640577443458,-0.1828109058586354,-0.03186219324230394,0.9332186130636395
1050,0.015567476925194057,-0.3389063006027814,-0.04471299017657523,0.5519836054637739
1060,0.01581071753857844,-0.33885338973368606,-0.046616500561819305,0.5945777604871354
1070,0.018022132057835316,-0.44276979517943627,-0.05215364495250155,0.5301267659008685
1080,0.022574620107627244,-0.5722053645525416,-0.06527564515293338,0.1786738479663451
1090,0.024932232026171796,-0.7224657636695476,-0.07724405224236885,0.0786596721147293
1100,0.03092486945686442,-0.9537363555234271,-0.09651175242480306,-0.3139774284294256
1110,0.032026972834336316,-1.0444114730775873,-0.10278928341880875,-0.4125160519029414
1120,0.038979946973782764,-1.3467590518395163,-0.13042932379567954,-0.8289623987778602
1130,0.051534312447257265,-1.9553874501280326,-0.18890873561497543,-1.5707509306490275
1140,0.07017048612547358,-3.0181523482706365,-0.2812838549962417,-2.5910745909694013
1150,0.08658123603747356,-3.8777169478104505,-0.3565708399117542,-3.4692879562141385
1160,0.09312515733590598,-4.183059993182141,-0.3869244549527008,-3.7979688401100784
1170,0.09603316997660283,-4.320167063236212,-0.4007053972546859,-3.8996507369822173
1180,0.09431816104667776,-4.353006145882603,-0.40235078001678337,-3.6473241939948995
1190,0.0966750741553953,-4.410473480449939,-0.41265356136517395,-3.7681813849611574
1200,0.09639466645364206,-4.343333180973536,-0.41044191929205953,-3.8271071414147064
1210,0.08924444953121478,-4.006012455342827,-0.3859043515882161,-3.5728799827397273
1220,0.07728283488214355,-3.5708347440526227,-0.34038206901574103,-3.100858041456584
1230,0.06274007562709001,-3.0394352529842728,-0.2856700739657867,-2.509632472659302
1240,0.04530553720512637,-2.5410696168149656,-0.2207741038044379,-1.6908699633840167
1250,0.027841066098743983,-1.8949447796670693,-0.1531261311891972,-1.0285040842811903
1260,0.012148265721082824,-1.3886796795316867,-0.09255109699581446,-0.3454641061840633
1270,7.495910834254237e-4,-1.0519310889950382,-0.05025612192343551,0.10271506973027777
1280,-0.00738709125658598,-0.8364286531812095,-0.023930803917152937,0.4403515173199801
1290,-0.005544296161538554,-0.9861678281973739,-0.02825731275604379,0.3424560983597048
1300,0.013417366509234273,-1.6102415863129536,-0.09402671679720465,-0.8348210270095169
