coeff,ldmc,n,p,sla
Intercept,0.31654990392238874,18.355607719989102,1.3485490375735214,8.521332276696985
410,0.07984324353137201,-4.513497858414813,-0.23134304139824002,0.3602444429015728
420,0.08074261277352393,-4.4697045897663195,-0.23365908508520938,-0.037577205762050966
430,0.08145165237773018,-4.457397202578511,-0.23406766916760904,-0.452290247638903
440,0.08246144910872544,-4.433776420851421,-0.23722187023878546,-0.7976948641219855
450,0.08394013143586243,-4.325623951708641,-0.24355369224349155,-1.0309062687167345
460,0.08415084788357548,-4.228348224493905,-0.24714836738480467,-1.2218732533590604
470,0.08511983129668015,-4.195766811905074,-0.25084555445072737,-1.3987779285663484
480,0.0856277319188104,-4.163181681004362,-0.2509938172241766,-1.569200917659072
490,0.08398938656043485,-3.9643164302037484,-0.23848100069139844,-1.8004039913454477
500,0.07352443657191389,-3.4330753686466027,-0.17368276212958722,-2.112063602973777
510,0.05133863114852495,-2.4237498895033815,-0.0132599835880109,-2.57807915820619
520,0.02478167994809029,-1.1661699561102414,0.17123513166242924,-2.7799912458837586
530,0.015651478574687686,-0.35271433443007527,0.17364885351160975,-2.2298787759181407
540,0.01722548623017706,0.11195724200136603,0.08854263087373106,-1.3720381679963343
550,0.01681835070331139,0.5363723349500411,0.035888538952244364,-0.6852624062953658
560,0.01756021457624076,0.7463396143685227,-0.009001269942504206,-0.18783101843957872
570,0.01764790149091093,0.7513919605590069,-0.05978941909800074,0.1806495859865454
580,0.011271176450157138,0.750182220647166,-0.08112342774074269,0.42995762164659646
590,-7.79180108152614e-4,0.8472595679357685,-0.07415704088672603,0.5436979696626674
600,-0.015311179299768957,0.9337390728163473,-0.05487223488991494,0.5772438938009516
610,-0.03153551315128168,0.8305270615069048,-0.037562247153653,0.5068033046655076
620,-0.046593210617422234,0.7669784655687589,-0.01696716278738239,0.3675833628027537
630,-0.057015626720228765,0.7115646958847199,-5.247004086784274e-4,0.21661939208536474
640,-0.0673747580939252,0.4155276504953904,0.012228166597682666,-0.0035151286739403265
650,-0.07382541852463062,0.0830456959661432,0.02206449114638115,-0.20095417954294115
660,-0.07543112380993341,-0.3355965015484659,0.03651792675779818,-0.39773189303791295
